Document,Primary Introducer,Status,Description,Date Introduced
LB904,Baker,Indefinitely postponed,Provide for school districts to opt out of a learning community,2016-01-12
LB905,Ebke,Indefinitely postponed,"Adopt the Commission on Fathers, Men, and Boys Establishment Act of 2016",2016-01-12
LB906,Lindstrom,Passed,Adopt the Law Enforcement Education Act authorizing tuition waivers,2016-01-12
LB907,Harr,Indefinitely postponed,Change provisions relating to the New Markets Job Growth Investment Act,2016-01-12
LB908,Kolterman,Passed,Provide for temporary licenses for veterinary technicians,2016-01-12
LB909,Kolterman,Passed,"Change powers, duties, and fee and penalty provisions relating to the Department of Agriculture",2016-01-12
LB910,Bolz,Indefinitely postponed,"Change provisions relating to the Office of Parole Administration, restrictive housing provided by correctional services, and ineligibility of certain felons for benefits as prescribed",2016-01-12
LB911,Bolz,Indefinitely postponed,State intent relating to fund transfers for behavioral health systems of care,2016-01-12
LB912,Smith,Indefinitely postponed,Change requirements for presentation of identification for purposes of voting,2016-01-12
LB913,Smith,Passed,Adopt the Facilitating Business Rapid Response to State Declared Disasters Act,2016-01-12
